,맥주정보,검색이름,맥주이름,인덱스,편의점
59,"hawthorne00(5,947)
🇦🇺Melbourne, Australia
2.6May 24, 2016
Bottle. Clear dark brown with a light tan head. Aroma is pretty shy, but there’s some nuts, cocoa and caramel. Thin. taste has some licorice too.…
Show more
Aroma
5
Appearance
3
Flavor
6
Mouthfeel
2
Overall
10",Asahi Super dray Black ,Asahi Super Dry Black,62,GS25 7/11 ministop
60,"Mister_Li(2,639)
🇩🇪Germany
2.5May 23, 2016
Klares dunkelbraun mit durchschnittlicher Schaumkrone. Malzig, etwas Karamell, Röstaromen, brauner Zucker.
Aroma
4
Appearance
3
Flavor
5
Mouthfeel
4
Overall
9",Asahi Super dray Black ,Asahi Super Dry Black,62,GS25 7/11 ministop
61,"Kurtos(311)
🇦🇺Sydney, Australia
3.0May 15, 2016
Drunk from can, very mild aroma, slightly sweet slight licorice. Tastes of licorice, very mild toffee and a slight roastiness. Just an average beer.
Aroma
6
Appearance
3
Flavor
6
Mouthfeel
3
Overall
12",Asahi Super dray Black ,Asahi Super Dry Black,62,GS25 7/11 ministop
62,"rarbring(2,290)
🇸🇪Linköping, Sweden
3.0April 24, 2016
Overall: Sweet fruits, oranges.
Note: Bottle 334 ml at Raw Sushi & Grill. Reviewed 2016-04-23.
Aroma
6
Appearance
3
Flavor
6
Mouthfeel
3
Overall
12",Asahi Super dray Black ,Asahi Super Dry Black,62,GS25 7/11 ministop
63,"KeefOz(3,106)
🇦🇺TARRAGINDI, Australia
2.5March 21, 2016
BB 05.2016. Poured a dark red-brown with a ruby edge tint and a two-finger light tan head that diminished slowly and laced OK. Carbonation…
Show more
Aroma
5
Appearance
3
Flavor
5
Mouthfeel
3
Overall
9",Asahi Super dray Black ,Asahi Super Dry Black,62,GS25 7/11 ministop
64,"jmgreenuk(14,585)
🇲🇾Kuala Lumpur, Malaysia
3.4March 5, 2016
Draft at Harrys Bar, Boat Quay, Singapore. Poured a clear dark brown with a frothy light tan head. The aroma is light roasted malt, liqourice. The…
Show more
Aroma
7
Appearance
3
Flavor
7
Mouthfeel
4
Overall
13",Asahi Super dray Black ,Asahi Super Dry Black,62,GS25 7/11 ministop
65,"Oakes(25,346)
🇨🇦Kelowna, Canada
2.9February 18, 2016
Found this at a Chinese restaurant in Melbourne. Dark brown with a full head. Aroma is a bit cocoa-toasty, as typical of the better big brewery dark…
Show more
Aroma
6
Appearance
3
Flavor
6
Mouthfeel
3
Overall
11",Asahi Super dray Black ,Asahi Super Dry Black,62,GS25 7/11 ministop
66,"chapmanli(65)
🇨🇳China
2.8September 24, 2015
a little bitter in the finishing, pleasant dark brown, slightly watery in the first mouth
Aroma
3
Appearance
3
Flavor
6
Mouthfeel
3
Overall
13",Asahi Super dray Black ,Asahi Super Dry Black,62,GS25 7/11 ministop
67,"Mark_Eck(2,000)
2.7September 12, 2015
Can. Pours a dark brown. Aroma and taste are light roasted malts and that’s about it. Better than any lager but not great.
Aroma
5
Appearance
3
Flavor
5
Mouthfeel
3
Overall
11",Asahi Super dray Black ,Asahi Super Dry Black,62,GS25 7/11 ministop
68,"thorongil2(5,536)
🇨🇦rootless cosmopolitan elite, Canada
1.4September 7, 2015
(can) clear, dark brown with a tall brown head; aroma of dough, then hint of roast; watery palate; watery flavour with a light bitter finish; worse…
Show more
Aroma
3
Appearance
3
Flavor
2
Mouthfeel
2
Overall
4",Asahi Super dray Black ,Asahi Super Dry Black,62,GS25 7/11 ministop
